baker,series,episode,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown,technical
Ali,4,1,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",25,Charity worker,"Saltley, Birmingham",11
Ali,4,2,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread,25,Charity worker,"Saltley, Birmingham",9
Ali,4,3,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,25,Charity worker,"Saltley, Birmingham",5
Ali,4,4,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",25,Charity worker,"Saltley, Birmingham",8
Ali,4,5,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Ali,4,6,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Ali,4,7,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Ali,4,8,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Ali,4,9,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Ali,4,10,NA,NA,NA,25,Charity worker,"Saltley, Birmingham",NA
Alice,10,1,IN,NA,NA,28,Geography teacher,Essex,5
Alice,10,2,STAR BAKER,NA,NA,28,Geography teacher,Essex,1
Alice,10,3,IN,NA,NA,28,Geography teacher,Essex,7
Alice,10,4,IN,NA,NA,28,Geography teacher,Essex,8
Alice,10,5,IN,NA,NA,28,Geography teacher,Essex,6
Alice,10,6,IN,NA,NA,28,Geography teacher,Essex,1
Alice,10,7,IN,NA,NA,28,Geography teacher,Essex,6
Alice,10,8,IN,NA,NA,28,Geography teacher,Essex,3
Alice,10,9,STAR BAKER,NA,NA,28,Geography teacher,Essex,4
Alice,10,10,Runner-up,NA,NA,28,Geography teacher,Essex,2
Alvin,6,1,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,37,Nurse,"Bracknell, Berkshire",2
Alvin,6,2,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,37,Nurse,"Bracknell, Berkshire",6
Alvin,6,3,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,37,Nurse,"Bracknell, Berkshire",4
Alvin,6,4,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,37,Nurse,"Bracknell, Berkshire",9
Alvin,6,5,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",37,Nurse,"Bracknell, Berkshire",8
Alvin,6,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,37,Nurse,"Bracknell, Berkshire",6
Alvin,6,7,NA,NA,NA,37,Nurse,"Bracknell, Berkshire",NA
Alvin,6,8,NA,NA,NA,37,Nurse,"Bracknell, Berkshire",NA
Alvin,6,9,NA,NA,NA,37,Nurse,"Bracknell, Berkshire",NA
Alvin,6,10,NA,NA,NA,37,Nurse,"Bracknell, Berkshire",NA
Amelia,10,1,IN,NA,NA,24,Fashion designer,Halifax,4
Amelia,10,2,IN,NA,NA,24,Fashion designer,Halifax,9
Amelia,10,3,OUT,NA,NA,24,Fashion designer,Halifax,11
Amelia,10,4,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,5,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,6,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,7,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,8,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,9,NA,NA,NA,24,Fashion designer,Halifax,NA
Amelia,10,10,NA,NA,NA,24,Fashion designer,Halifax,NA
Andrew,7,1,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,25,Aerospace engineer,"Derby / Holywood, County Down",12
Andrew,7,2,IN,Beehive Biscuits,Punting in Cambridge,25,Aerospace engineer,"Derby / Holywood, County Down",4
Andrew,7,3,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,25,Aerospace engineer,"Derby / Holywood, County Down",2
Andrew,7,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box,25,Aerospace engineer,"Derby / Holywood, County Down",4
Andrew,7,5,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,25,Aerospace engineer,"Derby / Holywood, County Down",6
Andrew,7,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,25,Aerospace engineer,"Derby / Holywood, County Down",6
Andrew,7,7,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,25,Aerospace engineer,"Derby / Holywood, County Down",1
